response,target_recipe
"Bring a small amount of salted water to boil in a large saucepan. Add the asparagus and cook until tender-crisp. Drain well, shaking to remove all water. Transfer to a serving bowl. Lightly toss with butter, tarragon, lemon zest, and sugar to taste.",231768
Crush rosemary and garlic in mortar with pestle to a coarse paste. Add peppercorns and mint leavesadd enough vinegar to make a thick paste. Mix mustard into soy and wineseason with salt and pepper. Marinate roast in mustard mixture for 4 hours or overnight. Remove roast from marinadesprinkle both sides with pepper mixtureplace in a roasting pancook at 400f for 25 minutes per pound or until meat thermometer registers 130f for medium rare. Let stand 15 minutes before carving.,259467
"Melt the butter in a skillet over medium heat. Add the mustard, garlic powder, salt and peppercook for 1 minute. In a shallow bowl, combine the cracker crumbs, parmesan cheese, parsley, and melted butter mixturemix well. Dip the cutlets in the mustard mixture, then roll in the cracker mixturepress to make sure the coating adheres well. Place the cutlets in a baking dish. Bake for 25 minutes in the preheated oven.
Fatty acid composition of the meat of the domestic fowl (Gallus gallus domesticus) during the period from 1 week of age to the 29th week of age was investigated by the method of gas chromatography (GC). The results showed that the content of saturated fatty acids (SFAs) such as palmitic acid (16:0), stearic acid (18:0), and arachidic acid (20:0) increased with age. On the other hand, the content of monounsaturated fatty ac",124382
" Preheat oven to 425. Place sliced apples in a baking pan. Stir together equal, cinnamon and salt. Add brown sugar. Spoon mixture over the apples. Add the margarine on top. Sprinkle with rolled oats. Bake for 1 hour until the apples are soft and the top is golden brown. Serve with vanilla ice cream or caramel sauce.",41858
"Peel potatoes. Cut into small cubes. Cook in boiling salted water for 20 minutes until tender. While the potatoes cook, in a saucepan combine the lemon juice, lemon zest, and the chives. Bring the mixture to a boil over medium heat. Reduce the heat to low. Stir in the butter 1 tablespoon at a time until the sauce is smooth. Stir in the cooked potatoes and stir to coat well. Serve the potatoes immediately with a sprinkle of fresh chives for garnish.",298065
Combine all ingredients in a blender. Blend well. Pour into a glass and enjoy.,31373
"Preheat oven to 350 degrees. Spray a 9×9 pan with cooking spray. In a mixing bowl, cream together the unsalted butter and sugar. Add the flour, baking powder, and salt. Mix in the milk. Spread into the pan and top with the peaches. Bake for 30-40 minutes or until the top is golden brown. While the cobbler is baking, mix together the lemon juice and cinnamon. When the cobbler is done cooking, sprinkle with the lemon mixture. Serve warm.",101767
Preheat oven to 350. Grease cupcake tins. Beat cream cheese until smooth. Add the rest of the ingredients. Beat until smooth. Pour into cupcake tin. Bake for 15 to 20 minutes.,70761
"In a large fry pan over med heat, add olive oil, sweet onions, green bell peppers, and red bell peppers. Stir frequently until onions are tender. Remove from heat and add the minced garlic cloves. Add the bay leaves. Let cool slightly. In the meantime, remove the clams from the shell. Add the clams to the pan with the vegetables. Add the dry white wine and stir. Add the hot pepper to taste. Return the clams to their shells. Put the clams in the oven at 350 for 10 minutes. Serve as a side dish.",126303
Melt chocolate squares with butter and stir until blended. Add sugar and beat until mixture is creamy and well blended. Add eggs one at a time and beat after each addition until smooth. Add vanilla. Stir in flour and nuts. Spread in a greased and lightly floured 13x9 baking pan. Bake in preheated 350 degree oven for about 20 minutes or until set. Cool in pan on a wire rack for about 10 minutes. Cut into bars while still hot and place in a plastic bag with the cookies and shake until the bars are coated with cookies. Refrigerate and enjoy later.,141256
"Preheat oven to 350. In a small bowl, combine garlic and ginger. Rub mixture into pork. In a large skillet or dutch oven, heat 1/4 inch oil. Add ribs and cook until well browned on all sides. Set aside. In a bowl, combine the rest of the ingredients. Heat to a boil and cook until thickened and bubbly. Pour over ribs in skillet. Cover and bake for 1 hour. Uncover and continue baking until sauce is thick. Serve over hot white rice.",55015
"Preheat oven to 450 degrees f. Place pizza crust onto a lightly greased baking sheet. In a bowl combine beef, dressing, cheese, bacon and dill pickle. Spread onto crust to within 1/2-inch of edge. Bake 5 minutes or until crust is crisp. Top with tomatoes, lettuce and prepared mustard. Makes one pizza.",152534
"Cream butter and sugar together. Beat in eggs one at a time. Stir in dates, flour, cinnamon and baking powder until blended. Pour into greased 8x8 inch or 9x9 inch pan. Bake in preheated 350 degree oven for 35-45 minutes until golden brown and cake tests done. Cool in pan 5 minutes. Drizzle with lemon glaze if desired.",488747
"Bring to a boil with the bacon drippings, the molasses, the salt and the pepper. Cook over low heat for 1 hour or more, adding more bacon drippings if necessary to keep the potatoes from sticking to the pan. Remove from heat and sprinkle with fresh parsley. Serve hot.",118367
" In a bowl toss together the olive oil, garlic, rosemary, edamame and cannellini beans. Season with salt and pepper to taste. Scatter with the parsley, pecorino cheese and serve.",388376
Preheat oven to 400. Salt and pepper chops and set aside. Heat 1/4 inch of oil in large saute pan. Add onions and saute until translucent. Add chops and brown on both sides. Add baby carrots and red potatoes. Stir to coat with juice from the chops and saute until chops are done. Stir in parsley flakes. Serve with mashed potatoes.,315433
"Grease and line a 900g loaf tin. Pre heat the oven to 180C/Gas Mark 4. Sift the flour, nutmeg and bicarbonate of soda into a mixing bowl. Mix the caramel mixture, egg and butter together in a saucepan over a low heat until smooth. Pour the caramel into the dry mixture and mix well. Fold in the mashed banana and dates. Tip the mixture into the prepared tin and spread evenly. Bake for one hour. Leave to cool in the tin. When cold slice and spread with butter icing. Decorate with banana slices.",312176
Brown meat. Add other ingredients and simmer for at least two hours.,343317
"Combine the flour and sugar in a large bowl and mix well. In another bowl mix together the melted butter, milk and eggs, then add the vanilla extract. Add the flour mixture to the butter mixture and stir well. Stir in the cornmeal and mix well. Spray a 13x9x2 inch pan with cooking spray and pour in the batter. Bake for about 25 minutes or until the top is golden brown and a toothpick inserted in the center comes out clean. Makes about 24 servings (1/2 of a piece)",153204
Heat oil in pan. Dust chicken with flour. Shake off excess and brown on both sides. Add stock and paprika. Bring to boil and then reduce heat. Cook 10 min. Whisk together the lemon and brown sugar. Pour over chicken. Serve.,466502
"Heat oil and butter in a skillet. Add mushrooms and garlic and saute for about 3 minutes or until tender. Add kale and saute until wilted, about 1 minute. Add wine and bring to a boil. Lower heat and simmer for about 5 minutes or until most of the liquid has evaporated. Season with salt and pepper.",205509
Mix together salad and dressing. Chill before serving.,274411
Cut tomatoes into thin slices. Cut cheese into thin slices. Brush chicken with olive oil. Sprinkle with garlic and fresh basil. Combine vinegar with black pepper and salt in a small bowl. Put in a large baking dish. Place cheese slices in dish. Place chicken on top of cheese slices. Place tomato slices in dish. Bake in the oven for 45 minutes. Remove from oven. Serve with hot cooked rice.,429633
"In small bowl combine cilantro, garlic, lime juice, olive oil, salt, and pepper. Spread cilantro mixture evenly over salmon fillet. Bake 20 minutes or until fish flakes easily with fork. Serve immediately with lemon wedges if desired.",154250
"In a small bowl, combine oj and lime juices. Add shrimp and cumin and mix well. In a skillet heat the olive oil over medium heat. Add jalapenos and onions and saute until onions are translucent and jalapenos are soft. Add the shrimp mixture and simmer for 5 minutes. Stir in garlic and cook another minute. Serve over rice.",154712
Mix everything except soy sauce and water in large bowl. Make meatballs and add to mixture. Form into loaf pan. Dot with margarine. Bake 350f for 55 minutes. Add soy sauce and water. Stir and bake 30 minutes longer. Remove from oven. Add water if needed. Serves 6-8.,74512
"Preheat oven to 350 degrees F. Grease a loaf pan with coconut oil or butter. In a large bowl combine coconut flour, baking soda, cinnamon and salt. In a medium bowl combine coconut oil, honey, vanilla and eggs, beat until smooth. Stir into dry mixture with a wooden spoon just until combined. Fold in bananas and pecans. Spread batter into prepared pan. Bake for 50-60 minutes or until a toothpick inserted into the center comes out clean. Cool in the pan for 5 minutes before removing to a wire rack to cool completely.",502049
"Prepare potatoesdrain well. Mash with cottage cheese until smoothset aside. Combine sweet potato, cottage cheese, sour cream, milk, sugar, and garlic powder in a saucepanbring to a boil. Reduce heatsimmer until thickened, stirring frequently. Remove from heatstir in green onions and cheddar cheese. Spoon potato mixture into a lightly greased 2-qt casserole dishtop with sweet potato mixture. Bake at 350 f for 20-25 minutes or until heated through. Makes 6 servings.",367074
Fry onions in butter until soft. Add frankfurters and brown well. Add whole tomatoes and potatoes. Season well with salt and caraway seed to taste. Simmer until potatoes are tender.,310785
"Prepare sole as directed below. Melt butter in skillet. Add salt, pepper, dry white wine and cream of mushroom soup. Cook 1 minute. Add slivered almonds. Cook another minute, then pour over prepared fish. Sprinkle with lemon juice. Bake uncovered 12 minutes or until fish is done.
 chicken kievingredients: chicken breasts, salt, pepper, mashed potatoes, egg yolkspreparation:Preheat oven to 400f. Combine the mashed potatoes with egg yolks. Cut the chicken breasts lengthwise in half. Spread the mashed potato mixture inside each half of the breast, then roll up the breasts and secure them with toothpicks. Dip the chicken in the beaten egg whites. Place the chicken breasts in a baking dish or pan and pour the broth over them. Bake 25 minutes, or until cooked through.",100056
"Pound steaks to 1/4 inch thickness. Combine flour with basil and 1/2 tsp pepper. Coat both sides of the steaks with the flour mixture. Heat oil in skillet. Brown steaks well. Stir in tomatoes, green pepper and 1/2 tsp pepper. Heat through. Serve over pasta.",496258
"Mix cottage cheese with sour cream, green onion and garlic clove. Salt to taste. Peel potatoes and cut into quarters lengthwise. Boil in a large quantity of water until tender. Drain and add sour cream mixture. Combine well with potatoes. Place in a buttered casserole. Sprinkle with grated cheese. Bake in 350 degree oven about 10 minutes. Uncovered.",366245
"Cook chicken fillets in a large pot of boiling water for 20 minutes, remove chicken and cool in cold water. Remove meat from bones, cut in bite size pieces. Combine cabbage, onion, green peppers, chicken bouillon, soy sauce, garlic powder, worcestershire sauce. Heat through on low heat. In a separate frying pan brown noodles in oil. When ready to serve, place meat and vegetable mixture on noodles. Sprinkle with toasted sesame seeds.",30211
"Bring soy sauce and sherry to a boil. Add ginger and garlic and boil 3 minutes more. Stir in cornstarch until smooth. Cut rump steak into 1-inch cubes. Add to sauce. Heat until warmed through. Slice asparagus diagonally into 1/2-inch pieces. Heat oil until it is very hot but not smoking. Add beef mixture and cook, stirring constantly 2 minutes or until the beef is done and the sauce is thickened. Toss beef mixture with asparagus and serve on warmed plates.",26234
"Preheat oven to 350 degrees F. Rub chicken with garlic powder, salt and pepper. Place in a shallow roasting pan. Combine sauce, sherry and oregano and pour over chicken. Bake for 1 hour or until no pink is visible. Sprinkle with fresh basil just before serving.",22927
Slice each breast in half horizontally to form two thin pieces. Place a small slice of cream cheese on each piece of chicken. Top each with a slice of ham. Sprinkle lightly with garlic salt. Lay another slice of chicken on top. Press lightly to secure. Put on a baking sheet and bake at 350 for about 15 minutes or until cooked through. Serve with rice.,283111
"Preheat oven to 375 degrees F. Combine the oats, sugar and flour in a bowl. Add the butter, canola oil and mix with fingers. Reserve 1/2 of the topping mixture. Spread the remaining topping mixture over the apple filling and sprinkle with the reserved topping mixture. Bake for 45 minutes. Serves 8.
Cranberry Jellies & Jams
Cranberry Pies, Tarts & Cakes
Cranberry Cocktails & Drinks
Cranberry Salsas
Cranberry Sauces
Cranberry Fruit Butters
Cranberry Tart Fillings
Cranberry Chicken & Turkey
Cranberry Baked Goods
Cranberry Meats
Cranberry Pasta & Rice
Cranberry Stuffing
Cranberry Curds & Cheeses
Cranberry Condiments
Cranberry Desserts
Cranberry Vegetables
Cranberry Sauces & Salads
Cranberry Pizza
Cranberry Pickled",234787
"Spray an 8 x 8 inch baking dish with cooking spray. In a large saucepan, bring water and cornmeal to boil over medium heatreduce heat and cook at a simmer, stirring constantly until mixture is thick and creamy about 40 minutes. Stir in the cooked pumpkin and the sour creamadd the spices and season with pepper and a small amount of additional salt if needed. Sprinkle with the cheese and bake at 350 for about 25 minutes, or until cheese is melted and browning on the edges. Serve immediately.",399443
"Preheat oven to 350 degrees F. Combine rice and water in a saucepanbring to a boil. Reduce heat to lowcover and simmer 30 minutes or until rice is tender. Coolfluff rice with a fork. Heat oil in a large skillet over medium-high heat. Add chili sauce, shrimp, and almondssaute 3 minutes or until shrimp are pink. Remove shrimp mixture from skillet. Stir coconut milk and rice into skillet. Cook and stir until heated through. Sprinkle with green onion.",287896
"Boil potatoes until fork tender. Drain and set aside to cool slightly. In mixing bowl add cream of celery soup, mayonnaise, white vinegar and black pepper. Mix until combined. Add celery ribs, green peppers, green onions, hard-boiled egg and cooled potatoes. Stir gently to combine. Chill overnight.",156897
Mix all ingredients and bake at 350f. for 25 minutes.,455190
"Rub mixture of soy sauce, ginger, garlic and worcestershire sauce onto chicken. Heat oil in frying pan. Add chicken and saute until done. Serve over rice.",449740
Mix first 3 ingredients. Heat oil over med-high heat in a grill pan. Season chicken with salt and pepper. Add to pan. Cook 4 to 5 min per side. Drizzle with vinegar mixture. Cook 3 more min.,113046
" In a large saucepan over medium heat, bring chicken broth and light italian dressing just to a boil. Add chicken breasts and cook until tender, about 15 minutes. Add carrots and continue cooking until chicken and carrots are tender and cooked through. Add stewed tomatoes and pasta and cook until pasta is tender and carrots are almost tender. Season with italian seasoning and garlic powder. Serve in bowls garnished with parmesan cheese. Makes 2 servings.",279299
"Trim the excess fat from the steak and cut into small pieces. In a heavy-based pot over medium heat fry the steak with the shallots and garlic for about 5 minutes. Add the fish sauce and the chicken broth. Bring to a boil and add the sugar and the black pepper. Lower heat and simmer for about 10 minutes. Remove from heat and add the spinach and the lemon juice. Season with salt and red pepper. Serve with rice.
What is the best way to eat a burger?
What is the best way to eat a burger?...
What is the best way to eat an apple?
What is the best way to eat an apple?...
What is the best way to eat a cheeseburger?
What is the best way to eat a cheeseburger?...
What is the best way to eat a taco?
What is the best way to eat a taco?...
What is the best way to eat a sandwich?
What is the best way to eat a sandwich?...
What is the best way to eat a cookie?
What is the best way to eat",413170
"Heat oven to 400 degrees f. Combine flour, baking powder, salt, and 1/2 cup butter in bowlcut with pastry blender until crumbly. Add sour creamstir with fork until moist dough forms. Sprinkle cheddar cheese over doughpress into dough with fork until mixed. Turn onto lightly floured surfaceknead gently 4 times. Roll dough 1/2 inch thick. Cut with 3-inch round cutterplace 1 inch apart on ungreased cookie sheet. Brush with watersprinkle with remaining 1 tablespoon butter. Bake 12 to 14 minutes or until light golden brown. Cool on wire rack. Yield: 8 servings (serving size: 1 scone)",280252
"Prepare marinade by combining oil, soy sauce, green onions, garlic, lime juice and red pepper flakes in a small bowl. Set aside. Cut meat into 1/4-inch strips and place in a large plastic zip-lock bag. Add prepared marinade and stir to blend well. Refrigerate for 3 to 4 hours. Remove meat from bag and add to grill pan. Cook 3 to 4 minutes on each side until desired doneness is reached. Serve with rice and sour cream or guacamole.",264556
"Soak 1 pound dried garbanzo beans in 2 cups cold water overnight. Drain and rinse. Place garbanzo beans in a large pot and cover with water. Bring to a boil over high heat. Reduce heat and simmer until tender, 2 to 2-1/2 hours. Drain and cool. Preheat oven to 400 degrees F. Combine garbanzo beans and remaining ingredients in a food processor. Process until smooth. Heat 1/2 inch of oil in a deep fryer or heavy-bottomed skillet to 375 degrees F. Form beans into 1/2-inch balls and drop into hot oil. Fry until golden brown and crisp, about 2 minutes. Drain on paper towels. Serve in pita bread with lettuce, tomato and tahini sauce.",130501
Spread cream cheese on top of french bread. Sprinkle with shredded parmesan and chopped fresh basil. Drizzle with olive oil. Bake at 350 degrees for 10-15 minutes. Slice the tomatoes and place on top. Drizzle with balsamic vinegar.,174610
"Pound the tenderloins to 1/4 inch thickness. Season all sides with salt & pepper. Heat oil in a skillet over high heat. Saute the tenderloins until browned on the outside and cooked through. Remove to a plate, add tomatoes and artichoke hearts. Cook until tomatoes are slightly wilted and softened. Return the tenderloins to the skillet and drizzle with balsamic vinegar. Sprinkle with red pepper flakes and oregano. Toss and serve.",246917
"In a large skillet over medium heat, combine the olive oil, garlic cloves and jalapeno pepper. Saute until garlic is golden brown. Add the red pepper flakes and cook another minute or two. Toss in the greens and continue to saute until tender but still brightly coloured, about 5-6 minutes. Add the sherry wine vinegar and salt to taste. Toss well and serve immediately.",349682
In saucepan combine all ingredients except the butter. Bring mixture to a boil. Remove from heat. Add the butter. Stir well. Pour over the popped popcorn. Shape into balls with buttered hands. Allow to cool.,260832
Melt the butter in a pan. Saute the halibut fillets on both sides for about 3 minutes per side or until just done. Add the lemon juice and the lemon pepper and sprinkle with salt.,342382
"Heat oven to 400f. Beat egg lightly in medium bowl. Add chili sauce and beat well. Add onion and parsley and beat until blended. Add round and mix thoroughly. Press mixture into 13x9x2 inch pan. Bake uncovered for 1 hour or until cooked through. Meanwhile, prepare glaze. Stir together glaze ingredients in small bowl. Serve glaze over meatloaf. Yield 8 to 10 servings.",155350
"Preheat oven to 350 degrees. Grease 9x13 pan. In bowl combine oil, water, eggs and cake mix until blended. Pour into pan. Bake 25-30 minutes or until done in middle. While cake is baking prepare cherries. In microwave safe container combine cherry pie filling and miniature marshmallows. Microwave on high 2-3 minutes or until mixture is hot and marshmallows are melted. Stir until smooth. Cool slightly, pour over warm cake. Cool completely before slicing into 30 squares.
Celebrate National Angel Food Cake Day with this quick, easy and fun recipe!
Combine all ingredients in a bowl and mix well. Divide evenly between two small ramekins, cover with foil and bake for 30 minutes in preheated oven (I did 400 degrees for 30 minutes). Let cool for 5 minutes before serving.
This is one of my favorite ways to enjoy this great little dessert! I hope you try it and like it!
If",57515
"Spread crepe with butter. Sprinkle with parmesan cheese. Place ham and mozzarella cheese on one half of crepe. Roll up. Place in foil. Bake at 350f for 15 minutes. In the meantime, saute chicken in butter with seasoning salt. Slice chicken and place on top of saltimbocca crepe. Serve with plum tomatoes.",79627
"Layer cream cheese, sour cream, oregano, garlic powder, crushed red pepper flakes in a 9""x13"" baking dish. Spread pizza sauce over cream cheese layer. Top with pepperoni, onion, and pepper. Spread mozzarella over all. Bake at 350F for 20 minutes until bubbly. Serve with tortilla chips or crackers.",158105
"In a large zip-top bag or crock-pot, combine the chicken, water, oil, paprika and salt. Marinate in the refrigerator for at least 6 hours or up to overnight. Place the chicken in the slow cooker. Cook for 6-8 hours or until the chicken is falling apart. Serve over rice.",60339
Combine first three ingredients in a sauce pan. Stir over medium heat until boiling. Boil for one minute. Remove from heat. Add all other ingredients except for the peanut butter. Drop by teaspoon onto wax paper. Spread with a knife and then sprinkle with chopped peanuts. Allow to cool.,31231
"In a large saucepan over medium heat, saute bacon bits and sweet onion until bacon is crisp and onion is tender. Stir in thyme. Add broth and beans, bring to boil. Reduce heat and simmer 10 minutes or until beans are tender. Add coleslaw mix and simmer 30 seconds longer. Serve with italian cheese blend and cracked black pepper to taste.",277581
Prepare jello. Add drained pineapple. Stir until dissolved. Pour into 13x9x2 pan and refrigerate until set. Combine cream cheese and whipped toppingspread over jello. Refrigerate until serving time.,421569
"Preheat oven to 400 degrees. Beat together cabbage, milk, and eggs. Combine flour and rest of dry ingredients. Add the cabbage mixture and mix thoroughly. Fold in onion flakes. Spoon into greased 12 cup muffin pan. Bake in the preheated oven for 25 to 30 minutes.",54319
"Prepare cake mix according to instructions on box. Grease a bundt pan or tube pan. Bake cake according to instructions on box. While cake is baking, combine gelatin with boiling water in a saucepan over medium heat. Stir constantly until gelatin is completely dissolved. Remove from heat and let stand for about three minutes or until mixture thickens to a light paste-like consistency (do not let it harden). Add strawberry gelatin to mixture, stirring until evenly blended. Add milk and beat with a whisk until mixture is smooth. Remove cake from oven when done, and immediately poke holes in cake with the tip of a wooden skewer. Pour cooled gelatin mixture over hot cake in pan. Let stand for five minutes. Invert onto a plate. Drizzle with frosting and sprinkle with coconut.",46401
"Cook spaghetti according to package directions. Drain and set aside. In a skillet, cook and drain ground beef. Add onions and cook until tender. Add mushroom stems and pieces and cook until tender. Add diced tomatoes, water and chili seasoning mix. Bring to a boil and cook until heated through. Stir in spaghetti and heat through. Sprinkle with cheese. Serve immediately.",458309
"In slow cooker, arrange chops in single layer. Add mushrooms, soup, beer, onion soup mix, water. Cover and cook on low for 4 hours or high for 2 1/2 hours. Serve over cooked noodles or mashed potatoes. You can also add or remove garlic per preference.",13608
"Wash all greens well, drain, and set aside to dry. In a frying pan over low heat, cook bacon until crisp. Remove bacon with slotted spoon to a paper towel to drain. In the same pan over low heat add the garlic clove. Cook for 1 minute. Add the greens and cook for 2 minutes, or until just wilted. Add the vinegar, sugar, and cook for 30 seconds more. Toss the greens in the pan to coat evenly. Remove from heat. Sprinkle with the parsley and serve with the bacon and the boiled egg cut into quarters.",126087
"Heat a large nonstick skillet over medium heat. Melt butter in skillet. Add the chilies. Cook 4 minutes, stirring occasionally. Add the cheese to melt. Add the chicken. Heat through. Sprinkle with the cilantro. Spread 1/4 cup salsa onto a tortilla. Top with 1/2 cup of the cheese mixture. Add another tortilla. Repeat with remaining tortilla. Cut each into 6 wedges.",245912
"Heat olive oil in skillet. Add mushrooms. Saute until lightly browned. Pour in wine and broth. Bring to boil. Reduce heat and simmer until liquid has reduced by half. Blend flour with water until smooth. Stir into pan. Cook over low heat until thickened. Stir in parsley flakes. Season to taste. Serve over steak, chicken or other meat.",288551
"Bring to a boil 4 cups of water with 2 tablespoons of light brown sugar, 2 tablespoons of dark brown sugar. Stir well. Add 2 squeezed limes. Cool. Pour into a pitcher. Add 1/4 cup salt. Add 2 whole cloves& 2 cinnamon sticks. Serve over ice. Garnish with orange slices.",455405
"Mix together the turkey breast, boiled ham and cheddar cheese in a small bowl. Cut the carrots and celery ribs into bite-sized pieces. Divide the salad mixture evenly between two bread slices. Serve with salsa and ranch dressing. Cut the angel food cake into cubes. Divide the cubes evenly between two bread slices. Serve with strawberries.",379849
"In a medium saucepan over medium heat, bring the cream to a boil. Remove from heat. Stir in chocolate chips and rum extract until blended. Refrigerate for 30 minutes or until firm enough to form into balls. Roll mixture into 1-inch balls. Roll into walnut halves. Refrigerate until firm. Melt white chocolate. Dip truffles into white chocolate. Sprinkle with chopped nuts. Let stand until set.",15906
"Preheat oven to 375f. Line muffin cups. In large bowl combine all dry ingredients. In smaller bowl combine applesauce, egg white, vanilla. Add to dry ingredients. Fold in apples. Fill muffin cups 2/3 full. Bake 18-20 minutes or until lightly browned.",283394
"Combine flour, baking powder and seasoningscut in margarine till the mixture resembles coarse meal. Beat together the eggs, milk, and cheesestir into the flour mixture until dough is smooth. Chill 15 minutes. Divide dough in halfshape each half into a rectangle about 3/4 inch thick. Cut into strips about 1/2 inch widetwist into 4 inch ropes. Place ropes about 1/2 inch apart on greased baking sheetbake at 400 degrees for 15 to 20 minutes until light brown. Makes about 2 dozen.",303976
Mix first 4 ingredients well. Roll into ball and place on cookie sheet. Bake for 12-15 minutes at 350 degrees. Dip in powdered sugar while warm.,272486
Cook leek in butter over low heat until tender. Add cream and milk and stir until thickened. Add mayonnaise and cook 2 minutes more. Stir in artichokes and pimentos. Pour mixture into a greased 1 1/2-quart casserole dish. Combine panko and Parmesan and sprinkle over top of casserole. Bake at 400f for 30 minutes or until browned and bubbly.,108159
"In skillet brown turkey, crumble. Combine broccoli florets with water until tender, drain. In saucepan combine all other ingredients. Cook over low heat until cheese is melted and thoroughly blended. Place 1/2 cup mixture over each serving of rice. Top with 1/2 cup turkey mixture and 1/4 cup broccoli mixture. Sprinkle with cheese mixture. Makes 4 servings.",164348
"Heat oil in medium nonstick skillet over medium heat until hot. Add onion and garliccook 2 minutes, stirring occasionally. Add bell pepper and cook 2 minutes longer. Stir in tomatoescook 2 minutes longer. Stir in beanscook 2 minutes longer. Season with pepper. Serve on toasted baguette slices.",76060
In a saucepan combine all the above ingredients and boil until thick and clear. Put the drumsticks in a glass bowl and pour the sauce over them. Leave the drumsticks in the sauce in the fridge overnight. The next day remove the drumsticks from the sauce and heat rice in the oven as per directions on package. Serve the drumsticks with the rice and enjoy.,495318
Combine the first five ingredients in a saucepan over medium heat. Cook to soft ball stage. Remove from heat and add pecans and the last two ingredients. Beat until the mixture loses its gloss and spread into a lightly greased and floured 10x15x1 inch baking pan. Chill until firm and then cut into squares.,23696
"Preheat oven to 350 degrees F (175 degrees C). Grease 8x8 inch baking dish. In a large bowl, combine salt, walnut oil, matzo meal, lemon juice and eggs until smooth. Stir in apples, sugar and cinnamon. Spread in baking dish. Bake for 30 minutes in the preheated oven. Cool slightly. Serve warm or at room temperature.",423272
"Combine the first 4 ingredients in a blenderprocess until smooth. Pour into an 8-cup glass serving bowl. Stir in the half and half, banana schnapps and the honeystir until blended. Sprinkle with the coconut. Chill until ready to serve.",458148
"Melt butter in medium saucepan over medium heat. Add garlic and cook 1 minute. Add brown sugar, worcestershire sauce, mustard and onion. Cook, stirring constantly 1 to 2 minutes. Stir in ketchup and vinegar. Bring to a boil. Reduce heat and simmer 1 minute. Stir in chili powder and lemon juice. Serve as a basting sauce for barbecue, or combine with chopped or shredded beef, chicken or pork. Simmer until heated through and flavor is well blended.",295544
Prepare coffee and let cool to room temperature. Place coffee in 2-quart saucepan and add cinnamon stick. Heat to boiling and remove from heat. Peel and slice pears. Pour coffee into large bowl and add sliced pears. Let soak overnight. Heat coffee mixture to boiling in saucepan. Add brown sugar and stir until dissolved. Pour into 6 ramekins. Cover. Bake at 350°F 30 minutes. Remove from oven. Drizzle each serving with 1 teaspoon dark rum and serve. Serves 6.,111951
"Chop the mushroom fine and saute with the onion until brown. Add the lemon juice, butter, and salt. Chop the parsley fine. Whip the eggs until light and frothy. Add the parsley, the mushroom mixture, and the salt. Cook like an omelet. Serve with the parsley.
name: mushroom and celery saladingredients: fresh mushrooms, celery, olive oil, lemon juice, salt, sugar, white pepper, onion salt, garlic powderpreparation:Combine mushrooms and celery in a salad bowl. Mix oil, lemon juice, salt, sugar, white pepper, onion salt, and garlic powder. Mix well. Pour over mushrooms and celery. Serve.
name: sauted mushrooms with garlic and lemon juiceingredients: lemon juice, soy sauce, sugar, olive oil, butter, garlic paste, mushroomspreparation:Stir together lemon juice, soy sauce, and sugar. Set",32074
"In a large bowl, cream together the butter and sugars until light and fluffy. Add the egg and the egg yolk and mix until well blended. Add the flour mixture and the lime juice and mix until well blended. Stir in the lime zest and the white chocolate chips. Drop dough by the teaspoonful onto ungreased cookie sheet. Bake at 350° for 8 to 10 minutes or until just set. Remove from cookie sheet and cool on wire racks. Makes about 5 dozen",126000
"Preheat oven to 350 degrees F. Remove 4 breadsticks from can. In a small bowl, combine the cooked bacon, egg and fresh parsley. Stir until blended. Cut breadsticks in half crosswise. Press the cut sides into the center of each half of breadstick. Spoon bacon mixture into centers of breadsticks. Bake for 10 minutes or until golden brown. Cool slightly before serving.",337978
Melt caramels in heavy pan over low heat. Stir constantly. Add butter and oil and mix well. Remove from heat. Add marshmallows and stir until melted. Stir in puffed corn. Pour into buttered 9x13-inch pan. Let cool. Cut into squares.,191703
In a large saucepan bring water to a boil. Stir in carrotsreduce heat to medium-low. Coversimmer for 10 to 12 minutes or until crisp-tender. Drain carrotsreturn to saucepan. Stir in cinnamon and brown sugarheat through.,39442
"In a large saucepan, combine sugar, corn syrup, water, and margarine over medium heat. When mixture comes to a boil, insert a candy thermometer and cook for 10 minutes. Stirring constantly, bring mixture to a boil again, then remove from heat. Stir in vanilla and nuts. Pour onto buttered waxed paper. Cool 5 minutes or until firm enough to handle. Drop by teaspoon onto waxed paper and let cool completely. Makes 60 pieces.",372558
"In a large teapot combine lemongrass, sugar, ginger, and mint leaves. Add hot water and steep for about 5 minutes. Pour through mesh strainer into a 2-quart pitcher filled with ice cubes. Add green tea to the pitcher and stir until well blended. Serve immediately over ice in tall glasses. Garnish each glass with a sprig of mint.",478847
"To make the sorbet. Place mangoes and 1/2 cup water in a food processor or blender and puree. Strain through a sieve to remove seeds and pulp. Return the puree to the processor and add the remaining water and the sugar. Process until smooth and freeze according to manufacturer’s directions. To make the sauce. Combine the first four ingredients in a bowl and refrigerate for at least two hours before serving. Serve the sorbet in chilled bowls and drizzle the sauce over the top.
name: strawberry daiquirisingredients: light rum, ice, sherbet, strawberriespreparation:Put all but garnish berries in blender. Mix until smooth. Pour immediately into 4 glasses. Garnish with strawberries. Serve at once.
name: out of this world mai taiingredients: light rum, lime juice, orange curacao, orgeat syrup, dark rum, maraschino cherrypreparation:Pour all the ingredients except the dark rum into a shaker",172000
